Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,wellness_program,leave
33,Femake,United States,No,No,No,NA,25-Jun,No,Yes,No,No,Somewhat difficult
34,male,Germany,Yes,Yes,Yes,Rarely,26-100,Yes,Yes,No,No,Somewhat difficult
329,Male,United States,No,No,Yes,Often,25-Jun,Yes,Yes,Yes,No,Don't know
28,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,No,Somewhat difficult
35,Male,United States,No,Yes,No,NA,More than 1000,No,Yes,Yes,Yes,Very easy
36,Male,United States,No,Yes,Yes,Often,100-500,No,Yes,No,No,Very easy
21,Male,United States,No,Yes,Yes,Rarely,100-500,No,Yes,Yes,No,Don't know
22,F,United States,No,No,No,NA,More than 1000,No,Yes,Yes,Yes,Somewhat easy
41,m,United States,No,Yes,Yes,Often,More than 1000,No,Yes,Yes,Yes,Somewhat difficult
55,M,United States,No,Yes,Yes,Rarely,More than 1000,No,Yes,Yes,Yes,Very easy
32,F,United States,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Somewhat easy
21,F,United States,No,Yes,Yes,Rarely,26-100,No,Yes,Don't know,Don't know,Somewhat easy
45,M,United States,No,No,Yes,Never,26-100,Yes,Yes,Yes,Don't know,Don't know
27,female,United States,No,No,Yes,Rarely,More than 1000,No,Yes,Yes,No,Don't know
25,Female,United States,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,No,Don't know
26,F,United States,No,Yes,Yes,Never,More than 1000,No,Yes,Yes,No,Don't know
41,Male,Canada,No,No,Yes,Never,500-1000,No,Yes,Yes,No,Somewhat easy
27,Male,United States,No,No,Yes,Rarely,More than 1000,No,Yes,Yes,Yes,Don't know
31,Make,United States,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,No,Don't know
25,Male,Germany,No,Yes,Yes,Often,26-100,Yes,Yes,No,No,Somewhat easy
26,M,United States,No,No,Yes,Sometimes,25-Jun,No,Yes,Don't know,No,Don't know
27,female,United States,No,Yes,Yes,Rarely,More than 1000,Yes,Yes,Yes,No,Don't know
42,Male,New Zealand,No,No,No,Never,500-1000,No,Yes,Don't know,No,Don't know
29,Nah,United States,Yes,Yes,Yes,Sometimes,05-Jan,Yes,Yes,Yes,No,Very difficult
25,female,United States,No,No,Yes,Sometimes,25-Jun,No,Yes,Don't know,No,Somewhat difficult
33,Female,Sweden,No,Yes,Yes,Rarely,More than 1000,No,Yes,Yes,No,Don't know
99999999999,All,Zimbabwe,Yes,Yes,Yes,Often,05-Jan,No,Yes,No,No,Very difficult
31,Male,United States,No,No,No,Never,More than 1000,No,Yes,Don't know,No,Somewhat easy
26,Male,Canada,No,Yes,Yes,Often,26-100,Yes,Yes,Don't know,Don't know,Very easy
48,M,United Kingdom,No,No,No,NA,26-100,No,Yes,Don't know,No,Don't know
35,Male,United Kingdom,No,No,No,Sometimes,25-Jun,No,Yes,No,No,Very difficult
32,female,United States,No,No,No,Never,100-500,No,Yes,Don't know,No,Don't know
29,Male,Canada,No,No,Yes,Sometimes,100-500,No,Yes,Don't know,Don't know,Somewhat easy
26,Male,United States,No,Yes,Yes,Often,25-Jun,No,Yes,Yes,No,Somewhat difficult
28,Male,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,Don't know
23,male,United States,No,No,No,NA,More than 1000,No,Yes,Don't know,No,Don't know
35,M,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,No,Very difficult
29,male,Germany,No,Yes,Yes,Sometimes,26-100,No,Yes,Don't know,No,Very easy
26,Male,United States,No,Yes,No,NA,25-Jun,No,Yes,Yes,No,Very easy
33,Male,United States,No,Yes,Yes,Never,26-100,Yes,Yes,Yes,Yes,Don't know
33,Male,United States,No,No,No,NA,More than 1000,Yes,Yes,Don't know,Don't know,Don't know
22,Male,Brazil,Yes,No,No,Never,25-Jun,Yes,Yes,Don't know,No,Somewhat easy
30,female,Spain,No,Yes,No,NA,500-1000,No,Yes,No,No,Don't know
33,male,United States,No,Yes,Yes,Often,More than 1000,Yes,Yes,Yes,No,Somewhat easy
21,male,United States,No,Yes,No,Never,More than 1000,No,Yes,Don't know,Don't know,Don't know
31,Enby,United Kingdom,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,No,Don't know
26,F,United States,No,No,Yes,Sometimes,100-500,Yes,Yes,Don't know,Don't know,Somewhat difficult
30,Male,United States,No,Yes,No,Often,25-Jun,No,Yes,Don't know,No,Somewhat easy
30,fluid,Germany,No,Yes,Yes,Sometimes,100-500,No,Yes,Don't know,No,Somewhat difficult
23,Male,India,No,No,No,NA,25-Jun,No,Yes,No,No,Don't know
34,Male,Finland,No,No,No,Never,25-Jun,No,Yes,No,No,Somewhat easy
55,M,United States,No,Yes,Yes,Sometimes,05-Jan,Yes,Yes,No,No,Don't know
28,male,Germany,No,Yes,Yes,Rarely,05-Jan,Yes,Yes,Yes,No,Very easy
26,M,Uruguay,No,No,No,NA,26-100,Yes,Yes,Don't know,Don't know,Don't know
28,Male,New Zealand,No,Yes,Yes,Sometimes,25-Jun,Yes,Yes,Yes,Yes,Very easy
32,Male,United Kingdom,No,Yes,Yes,Sometimes,25-Jun,No,Yes,No,No,Somewhat easy
24,Male,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,No,No,Somewhat difficult
24,Female,United States,No,No,No,NA,More than 1000,No,Yes,Yes,Yes,Somewhat easy
28,Male,Canada,Yes,No,No,Never,100-500,Yes,Yes,Don't know,No,Somewhat easy
24,F,United States,No,Yes,Yes,Rarely,25-Jun,No,Yes,No,No,Very easy
33,male,United States,Yes,No,Yes,Often,05-Jan,Yes,Yes,No,No,Somewhat easy
34,male,United States,No,No,No,Sometimes,26-100,No,Yes,Don't know,No,Don't know
27,female,United States,No,No,Yes,Sometimes,26-100,No,Yes,Don't know,No,Somewhat difficult
28,Male,United States,No,No,No,Never,25-Jun,No,Yes,Don't know,No,Don't know
26,Male,United States,No,No,No,NA,More than 1000,No,Yes,Don't know,Don't know,Don't know
20,Male,Australia,No,No,No,NA,100-500,Yes,Yes,Don't know,Don't know,Very easy
23,female,United States,No,No,Yes,Sometimes,26-100,No,Yes,Yes,No,Don't know
29,Male,United States,No,Yes,Yes,Rarely,05-Jan,Yes,Yes,Yes,Yes,Somewhat easy
26,Male,United Kingdom,No,Yes,No,Sometimes,25-Jun,No,Yes,No,No,Don't know
36,Male,United States,No,No,No,Rarely,More than 1000,Yes,Yes,Yes,Yes,Somewhat easy
41,m,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Don't know
33,female,United States,No,No,No,NA,100-500,Yes,Yes,Yes,Don't know,Don't know
23,M,Canada,No,Yes,Yes,Sometimes,25-Jun,No,Yes,Yes,No,Very easy
39,Male,United States,No,Yes,No,Often,More than 1000,No,Yes,Yes,No,Don't know
34,M,United States,No,Yes,No,NA,More than 1000,No,Yes,Yes,Don't know,Don't know
26,F,United States,No,No,Yes,Sometimes,100-500,No,Yes,Yes,No,Somewhat difficult
24,Male,United States,No,No,Yes,Rarely,26-100,No,Yes,Yes,Yes,Don't know
43,Male,United States,Yes,Yes,Yes,Often,25-Jun,Yes,Yes,Yes,No,Very easy
40,Genderqueer,United States,No,Yes,No,Never,More than 1000,No,Yes,Yes,Yes,Don't know
30,male,United States,No,Yes,Yes,Often,More than 1000,No,Yes,Yes,Yes,Very difficult
34,M,United States,No,No,Yes,Sometimes,25-Jun,No,Yes,Don't know,No,Don't know
27,Male,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,Don't know,No,Don't know
36,Male,United States,No,No,No,Sometimes,More than 1000,No,Yes,Don't know,No,Somewhat easy
27,Male,Brazil,No,No,No,Rarely,25-Jun,No,Yes,No,No,Somewhat easy
35,Male,Netherlands,No,Yes,No,Never,100-500,No,Yes,Yes,No,Don't know
32,Male,United Kingdom,No,No,No,Never,25-Jun,No,Yes,No,No,Don't know
37,M,United States,No,No,No,NA,500-1000,No,Yes,Yes,No,Don't know
29,Male,United Kingdom,No,No,No,NA,26-100,No,Yes,Don't know,Don't know,Don't know
33,Female ,United States,No,No,No,Never,500-1000,No,Yes,Yes,Yes,Very easy
28,Make,United States,No,No,No,Sometimes,25-Jun,Yes,Yes,No,No,Somewhat easy
26,Female,United States,No,Yes,No,Never,26-100,No,Yes,Don't know,No,Somewhat difficult
27,M,United States,No,Yes,Yes,Sometimes,25-Jun,Yes,Yes,Don't know,Yes,Somewhat easy
38,Male,United Kingdom,Yes,No,Yes,Sometimes,26-100,Yes,Yes,No,No,Somewhat easy
57,M,United States,No,Yes,Yes,Rarely,More than 1000,No,Yes,Yes,No,Don't know
28,Male,United Kingdom,No,No,Yes,Sometimes,More than 1000,No,Yes,No,No,Very difficult
26,male,France,No,No,No,Never,25-Jun,No,Yes,No,No,Don't know
42,f,Netherlands,No,No,Yes,Rarely,100-500,Yes,Yes,Yes,No,Don't know
31,Male,United States,No,No,Yes,Sometimes,100-500,Yes,Yes,Yes,Yes,Very easy
58,Male,United States,No,No,Yes,Rarely,More than 1000,No,Yes,Yes,Yes,Somewhat easy
29,Male,United States,No,No,No,Sometimes,25-Jun,No,Yes,Don't know,No,Very difficult
39,Female,United Kingdom,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,No,Don't know
34,Male,United States,No,No,No,Sometimes,25-Jun,Yes,Yes,Don't know,No,Very difficult
57,Male,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Don't know
27,Male,Germany,No,Yes,Yes,Sometimes,25-Jun,No,Yes,No,No,Somewhat difficult
23,male,Germany,Yes,Yes,Yes,Often,26-100,Yes,Yes,Don't know,Don't know,Don't know
30,female,United States,No,No,No,NA,100-500,No,Yes,Don't know,No,Don't know
43,M,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Somewhat easy
18,Female,United Kingdom,No,Yes,Yes,Sometimes,05-Jan,Yes,Yes,Don't know,Don't know,Don't know
29,male,United States,No,No,Yes,Rarely,25-Jun,No,Yes,Yes,No,Don't know
48,M,United States,No,No,No,Never,25-Jun,No,Yes,Don't know,No,Don't know
28,Female,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Don't know,No,Don't know
30,Male,United States,Yes,Yes,Yes,Often,05-Jan,Yes,Yes,No,No,Very easy
26,Male,Israel,No,No,No,Sometimes,25-Jun,No,Yes,No,No,Very easy
31,Male,United States,No,No,No,NA,More than 1000,No,Yes,Yes,Don't know,Don't know
27,Male,Israel,No,No,No,NA,26-100,No,Yes,No,No,Somewhat difficult
24,Female,United States,Yes,Yes,Yes,Sometimes,05-Jan,Yes,Yes,No,Don't know,Don't know
25,male,United States,No,No,No,NA,26-100,No,Yes,Don't know,Don't know,Don't know
23,Female,United States,No,Yes,Yes,Often,More than 1000,No,Yes,Yes,Don't know,Don't know
25,female,United States,Yes,Yes,Yes,Often,05-Jan,Yes,Yes,Don't know,No,Somewhat difficult
34,Male,Netherlands,No,No,No,Rarely,25-Jun,No,Yes,Don't know,Don't know,Somewhat easy
38,female,United States,No,No,Yes,NA,26-100,No,Yes,Yes,No,Don't know
40,Male,Ireland,Yes,Yes,No,NA,More than 1000,No,Yes,No,No,Don't know
32,male,United Kingdom,No,No,No,NA,26-100,No,Yes,No,No,Don't know
35,Female,United States,No,No,Yes,Sometimes,100-500,No,Yes,No,No,Don't know
46,male,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Don't know
32,male,United Kingdom,No,Yes,Yes,Sometimes,25-Jun,Yes,Yes,Yes,No,Don't know
47,M,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Very easy
22,Male,United States,No,No,No,NA,More than 1000,No,Yes,Yes,Yes,Don't know
33,Female,United States,No,No,Yes,Sometimes,500-1000,Yes,Yes,Yes,Yes,Very easy
25,f,United States,No,No,No,Sometimes,25-Jun,No,Yes,No,No,Somewhat easy
29,M,United States,No,No,No,NA,More than 1000,No,Yes,Don't know,No,Don't know
39,Male,United States,No,No,No,Never,26-100,No,Yes,Yes,Yes,Very easy
38,male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Don't know
43,Male,United States,No,No,No,NA,25-Jun,Yes,Yes,Don't know,No,Don't know
46,Male,United States,No,No,Yes,Rarely,500-1000,Yes,Yes,Yes,Yes,Don't know
33,Male,Germany,No,No,Yes,Sometimes,25-Jun,No,Yes,Yes,No,Very easy
34,Male,United Kingdom,No,Yes,Yes,Often,26-100,No,Yes,No,No,Very easy
62,M,United States,No,No,No,Never,More than 1000,No,Yes,Yes,Don't know,Don't know
25,Male,Bosnia and Herzegovina,No,Yes,No,Rarely,26-100,Yes,Yes,Don't know,Don't know,Don't know
36,M,United States,Yes,Yes,Yes,Sometimes,05-Jan,Yes,Yes,Don't know,Don't know,Somewhat difficult
41,Female,United States,No,Yes,Yes,Rarely,500-1000,Yes,Yes,Yes,Yes,Very easy
24,male,Austria,Yes,No,No,Sometimes,05-Jan,No,Yes,Yes,Don't know,Somewhat easy
51,Male,New Zealand,No,No,Yes,Sometimes,26-100,Yes,Yes,No,Yes,Somewhat difficult
29,M,United States,No,No,Yes,Sometimes,25-Jun,No,Yes,Yes,No,Very easy
31,Female,Canada,Yes,Yes,Yes,Sometimes,100-500,Yes,Yes,Don't know,Don't know,Don't know
27,Male,United Kingdom,No,No,No,NA,25-Jun,No,Yes,No,No,Don't know
31,Male,Australia,No,No,Yes,Rarely,100-500,No,Yes,Yes,Yes,Somewhat easy
27,female,Hungary,Yes,Yes,No,Sometimes,05-Jan,Yes,Yes,No,No,Very difficult
23,Male,Sweden,No,No,No,Rarely,25-Jun,No,Yes,Don't know,No,Very easy
21,Male,Canada,No,No,No,Never,26-100,No,Yes,Don't know,Don't know,Don't know
27,Female,Australia,No,Yes,Yes,Sometimes,25-Jun,No,Yes,No,No,Somewhat difficult
39,M,United States,No,Yes,Yes,Often,26-100,Yes,Yes,Yes,Yes,Somewhat easy
26,M,United States,No,Yes,Yes,Never,More than 1000,No,Yes,Don't know,No,Don't know
27,Male,United Kingdom,No,No,No,Never,25-Jun,No,Yes,Don't know,No,Don't know
22,Female,United States,No,Yes,Yes,Sometimes,500-1000,No,Yes,Yes,No,Don't know
31,Female,United States,No,Yes,Yes,Rarely,100-500,No,Yes,Yes,No,Somewhat easy
32,male,United Kingdom,No,No,No,Never,25-Jun,No,Yes,Don't know,No,Don't know
28,female,United States,No,Yes,Yes,Often,100-500,Yes,Yes,Yes,No,Don't know
28,Androgyne,United Kingdom,No,Yes,Yes,Rarely,100-500,No,Yes,No,No,Somewhat difficult
23,female,United Kingdom,No,No,No,NA,25-Jun,No,Yes,Don't know,No,Very easy
30,Male,United Kingdom,No,No,No,Never,26-100,Yes,Yes,Don't know,Don't know,Very easy
36,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,No,Somewhat difficult
21,M,United States,No,Yes,No,NA,More than 1000,No,Yes,Yes,Yes,Don't know
30,male,Germany,No,No,No,Often,26-100,No,Yes,No,Don't know,Somewhat easy
32,Male,New Zealand,No,No,Yes,Sometimes,25-Jun,No,Yes,No,No,Very easy
29,female,Canada,No,No,Yes,Sometimes,05-Jan,No,Yes,No,No,Don't know
21,Agender,United Kingdom,No,No,Yes,Sometimes,26-100,No,Yes,No,Yes,Somewhat easy
27,Female,New Zealand,No,Yes,Yes,Rarely,100-500,Yes,Yes,No,No,Somewhat easy
34,M,Australia,No,No,No,Sometimes,More than 1000,No,Yes,Yes,Yes,Very easy
33,M,United States,No,No,No,NA,26-100,No,Yes,Don't know,Don't know,Don't know
22,Male,Netherlands,No,Yes,Yes,Sometimes,25-Jun,Yes,Yes,No,No,Somewhat easy
24,M,United States,No,No,No,NA,More than 1000,No,Yes,Don't know,Don't know,Don't know
27,Male,United States,No,Yes,Yes,Sometimes,100-500,Yes,Yes,Don't know,No,Don't know
33,Male,Australia,No,No,No,Never,More than 1000,No,Yes,Don't know,Don't know,Very easy
36,Male,United States,No,No,Yes,Rarely,26-100,No,Yes,Don't know,No,Don't know
40,Male,Canada,No,No,No,Never,26-100,No,Yes,No,No,Somewhat difficult
28,male,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,No,Somewhat difficult
39,Male,United States,No,No,Yes,Sometimes,500-1000,No,Yes,Yes,Yes,Don't know
32,Male,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,No,Somewhat easy
31,male,United States,No,Yes,No,Sometimes,More than 1000,No,Yes,Yes,Don't know,Somewhat easy
38,Make,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,Don't know,No,Don't know
23,Male,United States,No,Yes,Yes,Rarely,05-Jan,No,Yes,No,No,Don't know
42,Make,United States,No,No,Yes,Often,More than 1000,No,Yes,Yes,Yes,Somewhat easy
27,Female,United States,No,No,No,Sometimes,500-1000,No,Yes,Don't know,Don't know,Don't know
26,Female,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,Somewhat difficult
50,Male,United States,No,No,No,Never,26-100,Yes,Yes,No,No,Don't know
37,Male,United States,No,Yes,No,Never,26-100,No,Yes,Don't know,No,Somewhat easy
23,Male,United States,No,No,No,NA,26-100,No,Yes,Don't know,Don't know,Don't know
33,M,United States,No,Yes,No,Sometimes,25-Jun,Yes,Yes,Don't know,No,Very easy
29,male,Canada,Yes,No,No,Never,26-100,Yes,Yes,Yes,No,Very difficult
41,male,United States,No,Yes,Yes,Often,More than 1000,No,Yes,Yes,No,Don't know
50,Male,United States,No,Yes,No,NA,100-500,Yes,Yes,Don't know,No,Don't know
35,Male,United States,No,No,No,Never,25-Jun,No,Yes,No,No,Very easy
27,Male,Singapore,No,No,No,Sometimes,05-Jan,Yes,Yes,No,No,Don't know
27,Male,Australia,No,No,Yes,Often,100-500,Yes,Yes,No,No,Don't know
29,f,United States,No,No,No,Never,26-100,No,Yes,Yes,Yes,Don't know
31,Male,United States,No,Yes,Yes,Sometimes,25-Jun,No,Yes,No,No,Somewhat easy
43,Male,United States,No,No,Yes,Sometimes,25-Jun,No,Yes,No,No,Somewhat easy
34,Male,United States,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,No,Don't know
29,Male,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Don't know,No,Somewhat difficult
19,Male,Canada,No,Yes,Yes,Sometimes,05-Jan,No,Yes,No,No,Don't know
41,m,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Don't know
29,Male,United States,No,Yes,No,Never,100-500,No,Yes,Yes,Yes,Don't know
23,Male,United States,No,No,No,Rarely,100-500,No,Yes,Yes,Don't know,Don't know
24,Female,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,No,Somewhat difficult
31,M,United States,No,No,No,NA,26-100,Yes,Yes,Don't know,No,Don't know
43,Male,United States,No,No,No,NA,500-1000,Yes,Yes,Don't know,Don't know,Don't know
31,Male,United States,No,Yes,Yes,Rarely,100-500,No,Yes,No,No,Somewhat difficult
29,Male,United States,No,Yes,No,Often,100-500,No,Yes,Yes,Yes,Don't know
35,Male,United States,Yes,Yes,No,NA,25-Jun,Yes,Yes,No,Yes,Very easy
27,male,United States,No,No,No,NA,More than 1000,No,Yes,Yes,Don't know,Don't know
32,Male,United States,No,No,No,Sometimes,100-500,No,Yes,No,No,Don't know
50,Male,United States,No,No,No,Sometimes,05-Jan,Yes,Yes,Don't know,No,Don't know
27,Male,United States,No,No,No,NA,26-100,No,Yes,Don't know,No,Don't know
27,Male,Australia,No,No,No,Never,05-Jan,Yes,Yes,No,No,Don't know
32,Male,United States,No,No,Yes,Sometimes,25-Jun,No,Yes,No,No,Somewhat easy
30,Male,Singapore,No,No,No,Sometimes,26-100,No,Yes,Don't know,No,Somewhat easy
29,Male,United States,No,No,No,Rarely,More than 1000,No,Yes,Yes,No,Very easy
30,Male,United States,Yes,No,Yes,Often,25-Jun,Yes,Yes,No,No,Somewhat difficult
35,Male,United States,No,No,No,Never,26-100,No,Yes,Yes,Yes,Don't know
38,male,Netherlands,No,Yes,No,Often,26-100,Yes,Yes,No,No,Don't know
22,Male,United Kingdom,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,No,Very easy
24,m,Germany,No,Yes,No,Sometimes,100-500,No,Yes,Don't know,No,Somewhat easy
22,M,Netherlands,Yes,No,No,Never,05-Jan,No,Yes,Don't know,No,Don't know
31,Female,United States,No,No,Yes,Often,26-100,Yes,Yes,Yes,No,Very easy
23,female,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Somewhat easy
31,Female,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,Don't know,No,Don't know
28,Female,United States,No,Yes,Yes,Rarely,500-1000,No,Yes,Yes,Yes,Somewhat difficult
34,male,United States,Yes,Yes,Yes,Sometimes,25-Jun,No,Yes,No,No,Somewhat easy
32,male leaning androgynous,Canada,No,No,No,Sometimes,26-100,Yes,Yes,No,No,Very difficult
28,Male,United States,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,No,Don't know
24,Female,United Kingdom,No,No,Yes,Sometimes,100-500,No,Yes,No,No,Don't know
56,Male ,United States,No,Yes,Yes,Rarely,25-Jun,No,Yes,Yes,No,Don't know
31,Male,Germany,No,No,No,Sometimes,25-Jun,Yes,Yes,No,No,Very easy
34,female,United States,No,No,Yes,Sometimes,100-500,Yes,Yes,Yes,No,Somewhat easy
28,male,Germany,No,No,No,Never,26-100,No,Yes,No,No,Somewhat easy
36,male,Poland,Yes,Yes,Yes,Often,25-Jun,No,Yes,No,No,Somewhat easy
30,Male,United Kingdom,No,No,Yes,Often,26-100,No,Yes,No,No,Somewhat easy
35,Male,United States,Yes,No,No,NA,05-Jan,Yes,Yes,Yes,No,Very easy
49,male,Japan,Yes,Yes,Yes,Sometimes,05-Jan,Yes,Yes,No,Yes,Somewhat difficult
36,Male,Germany,No,No,No,NA,26-100,No,Yes,Yes,No,Very easy
35,male,Germany,No,No,No,NA,26-100,No,Yes,No,No,Very easy
57,Male,United States,No,No,No,Never,26-100,No,Yes,Yes,No,Somewhat difficult
37,Male,Ireland,Yes,No,No,Never,25-Jun,No,Yes,No,No,Don't know
25,Male,Ireland,No,Yes,Yes,Sometimes,26-100,No,Yes,No,No,Don't know
30,Male,Australia,No,No,No,Sometimes,26-100,No,Yes,No,No,Very easy
22,Female,Netherlands,No,No,No,Often,25-Jun,No,Yes,No,No,Don't know
29,Male,United Kingdom,No,Yes,Yes,Never,100-500,No,Yes,Don't know,Don't know,Don't know
54,male,United Kingdom,Yes,Yes,Yes,Sometimes,05-Jan,Yes,Yes,Don't know,No,Very easy
25,Male,Nigeria,No,No,No,NA,25-Jun,No,Yes,No,No,Don't know
29,male,Poland,No,No,No,Rarely,05-Jan,No,Yes,No,No,Somewhat difficult
32,male,Germany,Yes,No,No,Never,05-Jan,Yes,Yes,No,No,Don't know
30,M,United Kingdom,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,No,Don't know
31,male,Germany,No,No,No,NA,25-Jun,No,Yes,Don't know,No,Somewhat easy
20,F,Switzerland,No,No,No,Rarely,More than 1000,No,Yes,Yes,Yes,Somewhat easy
27,Male,United Kingdom,No,No,No,Never,05-Jan,No,Yes,Don't know,No,Don't know
32,Male,United States,No,No,No,Never,More than 1000,No,Yes,Don't know,Don't know,Don't know
26,Male,Ireland,Yes,No,No,Never,05-Jan,Yes,Yes,No,No,Somewhat difficult
30,Male,Ireland,No,No,Yes,Sometimes,26-100,Yes,Yes,No,Don't know,Very difficult
22,male,India,Yes,No,No,NA,05-Jan,Yes,Yes,Don't know,Don't know,Very easy
24,male,Ireland,No,No,No,NA,More than 1000,No,Yes,Don't know,Don't know,Don't know
26,m,Netherlands,No,No,No,Never,26-100,No,Yes,No,No,Don't know
43,male,France,No,No,No,NA,100-500,No,Yes,Don't know,No,Don't know
26,Male,Russia,No,No,No,Never,26-100,No,Yes,No,No,Somewhat difficult
23,Male,United States,No,Yes,No,Sometimes,25-Jun,No,Yes,Don't know,No,Don't know
26,Man,Canada,No,No,No,NA,100-500,Yes,Yes,Yes,Don't know,Somewhat easy
26,female,Israel,No,Yes,No,Never,100-500,No,Yes,Don't know,Don't know,Don't know
35,Male,Canada,No,Yes,No,Sometimes,26-100,No,Yes,Don't know,No,Don't know
22,Male,India,No,No,No,NA,26-100,No,Yes,No,No,Don't know
29,Female,United States,No,Yes,Yes,Rarely,25-Jun,No,Yes,Don't know,No,Don't know
29,Male,Germany,Yes,No,No,NA,05-Jan,No,Yes,No,No,Very easy
45,Male,United States,No,No,Yes,Often,05-Jan,Yes,Yes,Yes,No,Very easy
33,male,Bulgaria,No,No,Yes,Rarely,26-100,Yes,Yes,No,No,Somewhat easy
21,Female,United Kingdom,No,No,No,NA,25-Jun,No,Yes,No,No,Don't know
23,Female,India,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,No,Don't know
33,female,United States,No,Yes,Yes,Rarely,More than 1000,No,Yes,Yes,Yes,Somewhat easy
49,Male,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,Somewhat easy
28,Male,United States,No,No,No,NA,26-100,Yes,Yes,Don't know,No,Don't know
27,f,United Kingdom,No,No,Yes,Sometimes,25-Jun,Yes,Yes,Don't know,Yes,Very easy
23,male,Canada,No,No,Yes,Sometimes,25-Jun,No,Yes,Yes,No,Somewhat easy
29,M,Netherlands,No,No,No,Never,05-Jan,Yes,Yes,No,No,Somewhat easy
30,m,Germany,No,No,No,NA,26-100,No,Yes,Don't know,No,Somewhat easy
28,Female,Canada,No,No,No,NA,More than 1000,No,Yes,Yes,Don't know,Somewhat easy
32,Male,United Kingdom,No,No,No,NA,25-Jun,No,Yes,No,No,Don't know
37,Male,France,No,No,No,NA,100-500,No,Yes,No,No,Somewhat easy
31,male,France,No,No,No,NA,500-1000,No,Yes,Don't know,No,Don't know
29,Male,United States,No,No,No,NA,25-Jun,No,Yes,No,No,Somewhat difficult
33,M,United States,Yes,Yes,Yes,Rarely,05-Jan,Yes,Yes,No,Yes,Very difficult
37,male,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Don't know,Don't know
32,Male,United Kingdom,No,No,Yes,Rarely,100-500,No,Yes,Don't know,No,Don't know
26,Male,United States,No,No,No,Never,26-100,No,Yes,Don't know,No,Don't know
32,Male,United States,Yes,No,Yes,Sometimes,05-Jan,Yes,Yes,Don't know,Don't know,Very easy
37,F,United States,No,No,No,NA,26-100,Yes,Yes,Don't know,No,Don't know
29,Male,United States,No,No,Yes,Often,26-100,No,Yes,Yes,No,Very easy
34,Male,United Kingdom,No,No,No,NA,25-Jun,No,Yes,No,No,Somewhat easy
27,male,France,No,No,No,NA,25-Jun,No,Yes,Don't know,Don't know,Don't know
30,male,United States,No,Yes,No,Never,100-500,No,Yes,Don't know,No,Very easy
29,Male,United States,No,No,No,Never,25-Jun,No,Yes,Yes,No,Don't know
32,Male,United States,Yes,Yes,Yes,Sometimes,05-Jan,Yes,Yes,Yes,Don't know,Very difficult
25,Male,Germany,No,No,No,NA,500-1000,No,Yes,Yes,Don't know,Somewhat easy
37,male,United States,Yes,No,No,NA,25-Jun,Yes,Yes,Yes,Yes,Somewhat easy
29,Male,Netherlands,No,Yes,No,NA,25-Jun,No,Yes,No,No,Very easy
27,Man,United States,No,No,No,NA,26-100,No,Yes,Yes,No,Don't know
33,Male,United Kingdom,No,No,No,NA,25-Jun,No,Yes,Don't know,No,Don't know
29,male,Canada,No,No,No,NA,05-Jan,Yes,Yes,No,No,Somewhat difficult
25,Male,United States,No,Yes,Yes,Never,25-Jun,Yes,Yes,Don't know,Yes,Don't know
